dist,target,pair,S2
exponential,v13,logLxtdeg,-0.00036259421926986696
exponential,v23,VfxEfEm,0.0005280215733181048
exponential,v23,Vfxalpha,0.00013885896558345125
exponential,v23,VfxlogL,-0.00041919377553908954
exponential,v23,Vfxtdeg,0.0006877283173856805
exponential,v23,EfEmxalpha,0.0005173702488011763
exponential,v23,EfEmxlogL,0.005134387636263976
exponential,v23,EfEmxtdeg,-0.00023379286868840075
exponential,v23,alphaxlogL,-0.00013021509529981268
exponential,v23,alphaxtdeg,-0.0006941814091195406
exponential,v23,logLxtdeg,-2.747928643525785e-06
