dist,target,factor,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
exponential,E3_Em,logL,0.066777396178083,0.06044056619706225,0.07286070186703134,0.09807248417426875,0.09459671394428754,0.10150072008284583
exponential,E3_Em,tdeg,0.004470311954657628,0.002695454152213742,0.006830724530024914,0.009792369354621067,0.009289414444370942,0.01025779132151128
exponential,G12_Em,Vf,0.867621821084997,0.8510915359458471,0.8846497276609055,0.8906815600007839,0.8749496857430527,0.9060475992404309
exponential,G12_Em,EfEm,0.10615048450030354,0.09981558975253879,0.11405064848577132,0.12731477305877956,0.12290669629343075,0.13174856272249164
exponential,G12_Em,alpha,0.0008199443859869042,-0.00029745113649102666,0.0019009286613886525,0.0023431438053946804,0.0022702361246469483,0.0024285109456944815
exponential,G12_Em,logL,0.0011492176985440424,8.873321719980117e-05,0.002244595973339191,0.0019490014842375868,0.0018523316137012045,0.002047935134985287
exponential,G12_Em,tdeg,0.00033884788158451343,-0.0006392042178731787,0.0015403307664053256,0.0026414585289792564,0.002505796910500181,0.0027777119785212623
exponential,G13_Em,Vf,0.7549394878979334,0.7383945545008876,0.7719317694023807,0.786519786586414,0.7732185731105523,0.8016253357735825
exponential,G13_Em,EfEm,0.20082599000642667,0.1908800426621455,0.21053008384603178,0.23262321871021996,0.22521621552368232,0.2402897648399772
exponential,G13_Em,alpha,0.003184979759482412,0.0016988799017216792,0.004645390821927282,0.005103110247193903,0.004946925861586622,0.0052703111405532615
exponential,G13_Em,logL,0.002756157752171321,0.0012664094298474326,0.0043008913114710515,0.005545449713582843,0.005312945360995914,0.005812268503467995
exponential,G13_Em,tdeg,0.0027644011171803363,0.0011495405985357395,0.004489398027861462,0.0064495863677770755,0.006278426894825975,0.006665028349184539
exponential,G23_Em,Vf,0.7571296799775041,0.7409223679259428,0.7762744095653422,0.7889855724566375,0.774602167773121,0.8031262547409205
exponential,G23_Em,EfEm,0.2013574048523851,0.1907125022425916,0.21085533669704273,0.23259245121766678,0.22566983078651104,0.2398271564581513
exponential,G23_Em,alpha,0.001647018549580645,0.000630409375534654,0.002805410115123785,0.0033008945818577755,0.0031870951263666476,0.003417630033840413
exponential,G23_Em,logL,0.002747001118399415,0.0013851172947094118,0.004350289748943352,0.005129693951132215,0.004934287715606009,0.0053029158617501826
exponential,G23_Em,tdeg,0.001385980592591237,-0.00033407113386382554,0.002984641520494265,0.005263223509322236,0.0050584679133434,0.005449748085008258
exponential,v12,Vf,0.16439265085829213,0.15589492070276884,0.17395796032585537,0.21201899958317993,0.20627235920858936,0.21732840505584078
exponential,v12,EfEm,0.5979491639072797,0.5814278966475555,0.6136514287325203,0.6237517374392094,0.6109541127890155,0.6374362921193201
exponential,v12,alpha,0.009921946634451529,0.0056584703557153,0.014272994154977304,0.03332614210668337,0.031819022543527926,0.0349061209305206
exponential,v12,logL,0.11511524428105382,0.1073071210972923,0.12348051371400019,0.13329786083260992,0.1295582094610726,0.13729758601944433
exponential,v12,tdeg,0.05283263401474746,0.04680789531676454,0.0584821810566539,0.07683743759195334,0.07464537198553771,0.07905118026755018
exponential,v13,Vf,0.14924910167383537,0.14091422800531433,0.15625173221754607,0.15519786458187268,0.15131833374932105,0.1589437919081043
exponential,v13,EfEm,0.7405399071805939,0.7213787180660427,0.7596522102860578,0.74963520146744,0.7364502884501595,0.7652938510006934
exponential,v13,alpha,0.008335566271123872,0.00603840364651293,0.010784808880204746,0.012622353364807973,0.012219074016475942,0.01310559557277484
exponential,v13,logL,0.07086947949901003,0.06511795561553665,0.07573425729651749,0.0791801724143666,0.07684047944919568,0.08135492253549634
exponential,v13,tdeg,0.016884377401891283,0.013589972054271841,0.019578562032465146,0.021455722076471936,0.020864722673770073,0.021940956238067282
exponential,v23,Vf,0.14975317438997995,0.1417678182606257,0.1578176114032325,0.15565427986984756,0.15185561320379234,0.15938209969552908
exponential,v23,EfEm,0.7397716023644649,0.7204806066583477,0.7579917773003101,0.7488481604728114,0.7335816398372136,0.764982567853702
exponential,v23,alpha,0.007777514608086831,0.005317613291214376,0.010095261566131742,0.011887295224196017,0.011452030106888887,0.012377880392585385
exponential,v23,logL,0.07316378105325225,0.0668009563400199,0.07916108448599861,0.08170668934504505,0.07926695819485162,0.08420732227309402
exponential,v23,tdeg,0.01534058601435794,0.01232937698922842,0.01851879727979914,0.019891490185978827,0.01928610949038774,0.020468543123171975
