dist,target,factor,S1_gp,S1_poly,ST_gp,ST_poly
constant,v23,alpha,0.015251251486530814,0.01409440730017372,0.020539863311085253,0.01841598107768627
constant,v23,logL,0.1262970669747846,0.11955316354951778,0.1400136055292958,0.1324251031846326
constant,v23,tdeg,0.013706577653162307,0.014038974840746895,0.015649417860666284,0.01545638070382002
exponential,E1_Em,Vf,0.8224718348499009,0.8118213877992689,0.8442204664605428,0.8352017735179433
exponential,E1_Em,EfEm,0.15217267244142743,0.16192884711874017,0.17293733586004845,0.18442334771945862
exponential,E1_Em,alpha,0.00220362490666125,0.0021501022465064807,0.003700364357232368,0.002930674696722213
exponential,E1_Em,logL,0.0001724490387085671,4.289781362096408e-05,0.0005796136506511851,0.00031918701448625065
exponential,E1_Em,tdeg,0.0007434976207966962,0.0002832815893325945,0.0017593878682647542,0.0008626031735958348
exponential,E2_Em,Vf,0.8235555049621117,0.8113952183863445,0.8456849914334639,0.8346465903275364
exponential,E2_Em,EfEm,0.15163445384621185,0.1627534984752021,0.1720676843229022,0.18506072330591283
exponential,E2_Em,alpha,0.0012515502490762361,0.0014944955862787183,0.0025366090924820815,0.002054429042103935
exponential,E2_Em,logL,0.0001300329462297214,8.975466529776517e-05,0.000671619270418467,0.0003876518748687548
exponential,E2_Em,tdeg,0.0003828780435162801,0.0008855926026039463,0.0018635246029170772,0.0011687285691372212
exponential,E3_Em,Vf,0.3323402376064337,0.3260004521866344,0.39200017917576635,0.38484717910644034
exponential,E3_Em,EfEm,0.5017833611313903,0.5122779623848973,0.5770546734150093,0.590035428362871
exponential,E3_Em,alpha,0.008488376960254725,0.007465689785195209,0.015260072978372733,0.0121087323021815
exponential,E3_Em,logL,0.06632379636208413,0.06504152993359695,0.09759854229129228,0.09501456666033108
exponential,E3_Em,tdeg,0.004575091476387711,0.0034526176837440465,0.009687057623546085,0.005733558020962552
exponential,G12_Em,Vf,0.8674169048085864,0.8582650406722233,0.8908651283347204,0.8823538170110379
exponential,G12_Em,EfEm,0.10629428994871996,0.11478048810036424,0.12739363777522578,0.13761217800670275
exponential,G12_Em,alpha,0.0006286083178189158,0.0009246035166464002,0.002361719017293202,0.0014912708793266805
exponential,G12_Em,logL,0.0013359596452547828,0.0009501402851705711,0.0019485174047600723,0.0014847662584662035
exponential,G12_Em,tdeg,0.0005022194833058718,0.000818445890893704,0.0026277755498626096,0.0014250043160040137
exponential,G13_Em,Vf,0.7543512963336333,0.7424466162679387,0.7865879134768555,0.7756264419848612
exponential,G13_Em,EfEm,0.20118408224176526,0.21238116744441007,0.23272372117107618,0.24597641061581618
exponential,G13_Em,alpha,0.0027508444981703094,0.003250016085235552,0.0050815240657771715,0.003946409309993688
exponential,G13_Em,logL,0.002773936038026882,0.0026511683556022314,0.005541992339458459,0.004403715978567468
exponential,G13_Em,tdeg,0.003054221554381421,0.003924718834391521,0.0063851157921184475,0.005424690511084681
exponential,G23_Em,Vf,0.756097934176269,0.7445662126075183,0.7889680178467523,0.7779855411727121
exponential,G23_Em,EfEm,0.20166246192101012,0.21352097802588202,0.23276417475371675,0.24662432794627476
exponential,G23_Em,alpha,0.0014318220403183209,0.0019321120314621954,0.0033031291600573768,0.002602435935377021
exponential,G23_Em,logL,0.0026139691398582307,0.0028476974620891835,0.0051380873532519316,0.0044284690360603075
exponential,G23_Em,tdeg,0.0013732998788304886,0.002194278015493352,0.0052245671989055815,0.0033389337171142518
exponential,v12,Vf,0.16386135541061417,0.16256482484420193,0.212172642096192,0.18921505273074565
exponential,v12,EfEm,0.598535860573671,0.6405798164376787,0.623222533712745,0.6648992978427298
exponential,v12,alpha,0.008484995410542123,0.008508508683459225,0.03380647268675184,0.023959357385496493
exponential,v12,logL,0.11486594974992126,0.10825902130065802,0.13356786858511724,0.12166756725191731
exponential,v12,tdeg,0.05252253924361376,0.03760889463330344,0.07636533540385419,0.04468840126298117
exponential,v13,Vf,0.14883477063257652,0.13611529146917262,0.15501575587257452,0.13980987488709906
exponential,v13,EfEm,0.7402097412788242,0.7661970345707547,0.7491793812669058,0.7749848905853685
exponential,v13,alpha,0.008283374689188024,0.006864445577877667,0.012558963748591858,0.009337161489006708
exponential,v13,logL,0.07048865001179204,0.06688175764075581,0.07926623490014298,0.07410648052285229
exponential,v13,tdeg,0.016850344471259233,0.011534304519333169,0.021319463354322433,0.014411008496960741
exponential,v23,Vf,0.14938938324410414,0.13715726684623872,0.1555173463658107,0.14093500368365813
exponential,v23,EfEm,0.73975959784867,0.7648326334206451,0.7485167826033754,0.7739414221205692
exponential,v23,alpha,0.00756949918279501,0.006301796760120726,0.011823952434737404,0.008726508413518255
exponential,v23,logL,0.07267418616637203,0.06836386780208016,0.08174394537220675,0.07598439676795699
exponential,v23,tdeg,0.015041126552576565,0.010564384906050429,0.019740536543626366,0.013503838884178278
