Vf,EfEm,target,factor,S1,ST
0.2,28.0,G12_Em,logL,0.16981293221218408,0.32647701210187063
0.2,28.0,G12_Em,tdeg,0.2743228878227093,0.5839326939939
0.2,28.0,G13_Em,alpha,0.18943009424291246,0.29676662122330033
0.2,28.0,G13_Em,logL,0.34789498877221137,0.4403055750186131
0.2,28.0,G13_Em,tdeg,0.3131703395303893,0.4538619068850839
0.2,28.0,G23_Em,alpha,0.18222004834488215,0.25219374503601005
0.2,28.0,G23_Em,logL,0.4301192993744524,0.5028633692468092
0.2,28.0,G23_Em,tdeg,0.2825626943866626,0.37150584608472115
0.2,28.0,v12,alpha,0.04500995781591609,0.08597750860837111
0.2,28.0,v12,logL,0.6597705587616889,0.7124147641882617
0.2,28.0,v12,tdeg,0.2295722092107006,0.27955223832752873
0.2,28.0,v13,alpha,0.07372385754503041,0.08906517359053495
0.2,28.0,v13,logL,0.7905804170251811,0.8114703058037105
0.2,28.0,v13,tdeg,0.11145094859879201,0.12905652823299368
0.2,28.0,v23,alpha,0.0753743056630819,0.08908353289238546
0.2,28.0,v23,logL,0.7999724907763901,0.819955935045277
0.2,28.0,v23,tdeg,0.09930638818338844,0.11919558421066812
0.3,48.0,E1_Em,alpha,0.3411598169888733,0.537679121595207
0.3,48.0,E1_Em,logL,0.1110544964157335,0.298922140392483
0.3,48.0,E1_Em,tdeg,0.25935717181880485,0.5000704669942413
0.3,48.0,E2_Em,alpha,0.2571453468956571,0.43661949419797663
0.3,48.0,E2_Em,logL,0.13651534740612525,0.33960204205334543
0.3,48.0,E2_Em,tdeg,0.3076667673258081,0.5665188850271141
0.3,48.0,E3_Em,alpha,0.10287107323648165,0.12096095678513671
0.3,48.0,E3_Em,logL,0.8166399463851266,0.8484630252714629
0.3,48.0,E3_Em,tdeg,0.03899547425811198,0.07890699131131944
0.3,48.0,G12_Em,alpha,0.12865096520290192,0.32643655217131784
0.3,48.0,G12_Em,logL,0.07989225366019312,0.27628757502379575
0.3,48.0,G12_Em,tdeg,0.5053673690281657,0.724549659935136
0.3,48.0,G13_Em,alpha,0.10471771576586714,0.15049808343644072
0.3,48.0,G13_Em,logL,0.5508758238707012,0.5979670024697843
0.3,48.0,G13_Em,tdeg,0.27199255197264,0.34267534089829366
0.3,48.0,G23_Em,alpha,0.06592424199847555,0.11248079905691302
0.3,48.0,G23_Em,logL,0.5211795811545503,0.5794384228586231
0.3,48.0,G23_Em,tdeg,0.32781828293682735,0.404877380668902
0.3,48.0,v12,alpha,0.3145135305424205,0.3885423612845198
0.3,48.0,v12,logL,0.29124388699905446,0.3710264553171281
0.3,48.0,v12,tdeg,0.269924968954105,0.3800654731312285
0.3,48.0,v13,alpha,0.08669051560999746,0.11366472285321821
0.3,48.0,v13,logL,0.7702246868752571,0.8047992668886937
0.3,48.0,v13,tdeg,0.09838435548114968,0.1327479373870095
0.3,48.0,v23,alpha,0.07355676037165511,0.10220446935363653
0.3,48.0,v23,logL,0.7676779369885267,0.8025032384650703
0.3,48.0,v23,tdeg,0.11326954643444948,0.1470569566964685
